epoch,training_loss,validation_loss
0,0.010511948794667278,0.006806208951664823
1,0.009688158729864706,
2,0.00986334602648933,
3,0.00952804927533913,
4,0.009571973917885654,
5,0.009469762211665511,0.007084987126290798
6,0.00957182174428336,
7,0.00922370750847603,
8,0.009133652656248981,
9,0.00924284412195125,
10,0.00952231911041083,0.006731370064829077
11,0.009123306413511596,
12,0.009670692315745738,
13,0.008902229338644011,
14,0.009507519835155577,
15,0.008965912485314954,0.0070218608847686225
16,0.008775430956795331,
17,0.008717483420285487,
18,0.008192453214207725,
19,0.008931923439846404,
20,0.008538794358290972,0.006722051251147475
21,0.008401545384267886,
22,0.008305050357575379,
23,0.007962066191999663,
24,0.007972309256963912,
25,0.007796857325780776,0.0069164132167186055
26,0.007609569940776113,
27,0.007314655636887877,
28,0.007108694291673601,
29,0.006700414353080334,
30,0.006409691947121774,0.006862393314284938
31,0.00633081552692719,
32,0.006265054960104246,
33,0.005578844680360729,
34,0.005748282490868962,
35,0.005801987717859447,0.007015635924679893
36,0.005588948377408087,
37,0.005414227414275369,
38,0.005238475304307236,
39,0.0049631345168417015,
40,0.005098915846657849,0.0079990248195827
41,0.004918698822298358,
42,0.004764215318456052,
43,0.004314863231904324,
44,0.0047879466944704616,
45,0.0046198928893934335,0.007061350225870099
46,0.004488718309139292,
47,0.004019838093119042,
48,0.004234721452268141,
49,0.0041346053945862,
50,0.00428327054326092,0.007042893275086369
51,0.004326982495014465,
52,0.0037490837595185204,
53,0.003932748962524196,
54,0.004400425864714047,
55,0.003871529092711787,0.006998405259634767
56,0.0036841610337667646,
57,0.003753691519265093,
58,0.0037075965421184175,
59,0.003838303414428787,
60,0.003370835979078566,0.007234704215079546
61,0.0040068519451925836,
62,0.004127616915220935,
63,0.0033575811858979924,
64,0.003635184751117542,
65,0.0036764809816715216,0.007193981669843197
66,0.003653648820134901,
67,0.003390899932597794,
68,0.00369884189210772,
69,0.0037966141469716547,
70,0.003351555592680891,0.007398537293608699
