epoch,training_loss,validation_loss
0,0.02165088918991387,0.018487172201275826
1,0.026840007631108165,
2,0.012960294261574745,
3,0.030121778952889144,
4,0.011741821886971593,
5,0.036572919867467135,0.018889358267188072
6,0.01409059064462781,
7,0.010663515655323863,
8,0.060030195279978216,
9,0.021139767486602068,
10,0.03193108085542917,0.017448609694838524
11,0.012645426788367331,
12,0.012721828126814216,
13,0.012636124098207802,
14,0.017985417041927576,
15,0.017004977562464774,0.01266525685787201
16,0.05422757245833054,
17,0.006604677531868219,
18,0.01331959804520011,
19,0.008319405373185873,
20,0.008768356346990913,0.010534289292991161
21,0.01613346638623625,
22,0.014045653748326004,
23,0.010802710196003318,
24,0.013079881842713803,
25,0.016523456142749637,0.008910048753023148
26,0.012317435932345688,
27,0.013516927254386246,
28,0.009556015953421593,
29,0.008438810764346272,
30,0.012596186192240566,0.010765171609818935
31,0.00856553460471332,
32,0.026944822166115046,
33,0.0071079968474805355,
34,0.011682570679113269,
35,0.008567627402953804,0.007440630812197924
36,0.022189226641785353,
37,0.017797745880670846,
38,0.007995915366336703,
39,0.004943412845022976,
40,0.012166878557763994,0.010438278317451477
41,0.016420577303506434,
42,0.01530035916948691,
43,0.005455986538436264,
44,0.012115738878492266,
45,0.007064219273161143,0.008605587296187878
46,0.008349921670742333,
47,0.005608088104054332,
48,0.004913842072710395,
49,0.005708200333174318,
50,0.013620440964587033,0.009800299070775509
51,0.013157724228221923,
52,0.023856216692365706,
53,0.009003353014122695,
54,0.003407074313145131,
55,0.02058681898051873,0.008912110701203346
