epoch,training_loss,validation_loss
0,0.5407003611326218,0.5771293938159943
1,0.5093403814300415,
2,0.4901655484591761,
3,0.43949123399872936,
4,0.4296336039420097,
5,0.39416479968255563,0.3524187356233597
6,0.3755584979249585,
7,0.34384969597862614,
8,0.31860834744668776,
9,0.3124259686277759,
10,0.2984073174095923,0.2997860163450241
11,0.28091328374801144,
12,0.25334192692272123,
13,0.24913590569649974,
14,0.23343264984507714,
15,0.21025886795213145,0.2044761244739805
16,0.19763978835075133,
17,0.18750647839999968,
18,0.177036153693353,
19,0.16031462206475197,
20,0.1587756935867571,0.15047006841216767
21,0.14682640063185845,
22,0.13761167732938642,
23,0.1296136983700337,
24,0.11949861193856885,
25,0.11126277235246473,0.1063677083168711
26,0.10563279592221783,
27,0.10079586433787499,
28,0.09044536647777404,
29,0.08861324593665139,
30,0.08820781520297451,0.06483902782201767
31,0.07836797142461423,
32,0.07627888822988156,
33,0.07193442782567393,
34,0.06597082815583676,
35,0.06487019299980133,0.061617658606597354
36,0.05954827704737263,
37,0.05546737979015996,
38,0.05355477837785598,
39,0.05042221349093222,
40,0.0486891862125166,0.046899216515677314
41,0.0480153405618283,
42,0.04455551192645104,
43,0.0410640487267125,
44,0.03896858597234372,
45,0.03658091874733087,0.027188526200396673
46,0.03522000687136766,
47,0.03421486944200531,
48,0.03285158966337481,
49,0.03062726668412647,
50,0.030368224537420656,0.026355459221771786
51,0.02879530900428372,
52,0.028660961156410557,
53,0.02742648196797217,
54,0.026885960040794264,
55,0.02487899257891601,0.01951993363244193
56,0.023501027991334276,
57,0.022335762969188152,
58,0.022093633219840064,
59,0.02125192310420736,
60,0.021358319032456604,0.01798207459173032
61,0.0203205106419421,
62,0.019859506418147394,
63,0.018360975273554365,
64,0.01898697666042755,
65,0.01830531518545843,0.013869179146630424
66,0.0172278102367155,
67,0.01694159187196243,
68,0.016886942088603973,
69,0.01629428778805079,
70,0.015963480672648838,0.013279517979494162
71,0.015502464521916644,
72,0.01547559143434609,
73,0.01464412332091841,
74,0.01537759083833906,
75,0.014713810861951882,0.011155643234295505
76,0.014468521660854739,
77,0.014170108663458978,
78,0.014083671774114332,
79,0.01369709865520558,
80,0.01375211531957311,0.010551923220711095
81,0.013027853362502591,
82,0.013341721327554795,
83,0.01305184809250697,
84,0.012518424826163438,
85,0.012447851146721551,0.009751887060701847
86,0.012505909473064446,
87,0.012569180239112146,
88,0.01207392580897337,
89,0.011972684668557297,
90,0.011981647889760713,0.008598848977791411
91,0.011458926819144719,
92,0.01182653949475817,
93,0.011491263615748575,
94,0.011193705564965644,
95,0.011399740676185297,0.009193018477942263
96,0.011305371847664636,
97,0.011497769790190843,
98,0.012100868452821047,
99,0.011200898439593373,
100,0.010852709968364047,0.008225342657949244
101,0.011022037480987849,
102,0.010812176421525018,
103,0.011074512723773237,
104,0.01080652873121923,
105,0.010904990707433993,0.008184108484004225
106,0.010646833925538005,
107,0.010801745849030634,
108,0.010897102968526943,
109,0.010609921623742389,
110,0.010497877516994072,0.008162524218537979
111,0.010872453706519257,
112,0.011382721905266084,
113,0.01082479078773289,
114,0.010909282204304491,
115,0.011032163736320311,0.00826276745647192
116,0.010825655618382076,
117,0.01074483536273962,
118,0.010589489037351262,
119,0.010094594473259584,
120,0.010363194445568708,0.00814205248441015
121,0.010611520779709662,
122,0.010720343043607089,
123,0.010325956699107923,
124,0.010519100007631125,
125,0.01061904679743513,0.007719699492944139
126,0.010752817435610679,
127,0.0105563958340715,
128,0.010139112383307468,
129,0.010123778600245714,
130,0.010179543755047264,0.007447827075208936
131,0.01082985520723366,
132,0.010190037672498053,
133,0.01035054356250311,
134,0.010377022895901915,
135,0.010362907215171763,0.0075722515050854
136,0.010373063753509233,
137,0.010214784535609426,
138,0.00994242079586031,
139,0.010636399289773356,
140,0.010134763437353315,0.007572209595569542
141,0.010054361037609557,
142,0.010387474010067602,
143,0.010122154065738282,
144,0.010505545538880171,
145,0.009815291914668295,0.0075230092209364685
146,0.010055642537472228,
147,0.010032375560953252,
148,0.010087242755558222,
149,0.010237017556303931,
150,0.010131997627116019,0.007847441360354424
151,0.010413967215666366,
152,0.0103061598004593,
153,0.010433377750638512,
154,0.010121243600282938,
155,0.009824966471041403,0.007769888466490167
156,0.009863243062770175,
157,0.01008608496387399,
158,0.010048228421158368,
159,0.009885093339929176,
160,0.00952096022815714,0.007481422208781753
161,0.010325561044737697,
162,0.010175818149300834,
163,0.00982948369346559,
164,0.009792596094250199,
165,0.009902583352560479,0.007686525117605925
166,0.009697101845015441,
167,0.00962627631792378,
168,0.009768835757107984,
169,0.009629268514653367,
170,0.009444284080077083,0.00896195535148893
171,0.009977231500670314,
172,0.009433683128126206,
173,0.009462202786498012,
174,0.009406605510101203,
175,0.009229749088145552,0.008048833015241794
176,0.00891531921262222,
177,0.009197011229492003,
178,0.009670332472230639,
179,0.008833504229363414,
180,0.009011585205312698,0.00786929058709315
181,0.00915874392845698,
182,0.009095284073883969,
183,0.008708036910261839,
184,0.009131019544457235,
185,0.00894690421409905,0.008063472474792175
